ErrorName,ErrorCode,MongoError,ErrorOrdinal
InternalError,M0000,1,1
BadValue,M0001,2,2
GraphContainsCycle,M0002,5,3
FailedToParse,M0003,9,4
TypeMismatch,M0004,14,5
Overflow,M0005,15,6
IllegalOperation,M0006,20,7
AlreadyInitialized,M0007,23,8
NamespaceNotFound,M0008,26,9
IndexNotFound,M0009,27,10
PathNotViable,M000A,28,11
RoleNotFound,M000B,31,12
CannotBackfillArray,M000C,34,13
ConflictingUpdateOperators,M000D,40,14
CursorNotFound,M000E,43,15
NamespaceExists,M000F,48,16
DollarPrefixedFieldName,M000G,52,17
CanNotBeTypeArray,M000H,53,18
NotSingleValueField,M000I,54,19
EmptyFieldName,M000J,56,20
DottedFieldName,M000K,57,21
ShardKeyNotFound,M000L,61,22
ImmutableField,M000M,66,23
CannotCreateIndex,M000N,67,24
IndexAlreadyExists,M000O,68,25
InvalidOptions,M000P,72,26
InvalidNamespace,M000Q,73,27
IndexOptionsConflict,M000R,85,28
IndexKeySpecsConflict,M000S,86,29
NotExactValueField,M000T,111,30
CommandNotSupported,M000U,115,31
NamespaceNotSharded,M000V,118,32
ExceededMemoryLimit,M000W,146,33
DurationOverflow,M000X,159,34
ViewDepthLimitExceeded,M000Y,165,35
CommandNotSupportedOnView,M000Z,166,36
OptionNotSupportedOnView,M0010,167,37
AmbiguousIndexKeyPattern,M0011,181,38
InvalidIndexSpecificationOption,M0012,197,39
QueryFeatureNotAllowed,M0013,224,40
MaxSubPipelineDepthExceeded,M0014,232,41
ConversionFailure,M0015,241,42
OperationNotSupportedInTransaction,M0016,263,43
IndexBuildAborted,M0017,276,44
UnableToFindIndex,M0018,291,45
CollectionUUIDMismatch,M0019,361,46
Location10065,M001A,10065,47
BsonObjectTooLarge,M001B,10334,48
DuplicateKey,M001C,11000,49
BackgroundOperationInProgressForNamespace,M001D,12587,50
Location13026,M001E,13026,51
Location13027,M001F,13027,52
Location13068,M001G,13068,53
MergeStageNoMatchingDocument,M001H,13113,54
DbAlreadyExists,M001I,13297,55
Location13548,M001J,13548,56
Location15947,M001K,15947,57
Location15952,M001L,15952,58
Location15955,M001M,15955,59
Location15957,M001N,15957,60
Location15958,M001O,15958,61
Location15959,M001P,15959,62
