count,current_wait_state,method_name,next_wait_state
2595,AcquiringLocks,Write,ExecuteWrite
27,AddedToLeader,Applying
4,AddedToLeader,Truncate,Applying
2567,AddedToLeader,UpdateTransaction,Applying
19,AddedToLeader,UpdateTransaction,SubmittedUpdateTransactionToPreparer
2583,AddedToLeader,Write,Applying
7,AddedToLeader,Write,SubmittedWriteToPreparer
3,ApplyDone,Truncate,ResponseTransferred
1331,ApplyDone,UpdateTransaction,ResponseTransferred
1,ApplyDone,UpdateTransaction,SubmittedUpdateTransactionToPreparer
1066,ApplyDone,Write,ResponseTransferred
1,ApplyDone,Write,SubmittedWriteToPreparer
28,Applying,ApplyDone
3,Applying,GetSafeTime
4,Applying,Truncate,QueueingResponse
1,Applying,UpdateTransaction,ApplyDone
2590,Applying,UpdateTransaction,QueueingResponse
4,Applying,UpdateTransaction,SubmittedUpdateTransactionToPreparer
2594,Applying,Write,QueueingResponse
2,Applying,Write,SubmittedWriteToPreparer
7,BlockCacheLookupInCache,CloseFile
11914,BlockCacheLookupInCache,DoRead
25438,BlockCacheLookupInCache,Read,DoRead
2993,BlockCacheLookupInCache,Write,ConflictResolution
21,BlockCacheReadFromDisk,CloseFile
3306,BlockCacheReadFromDisk,DoRead
7049,BlockCacheReadFromDisk,Read,DoRead
7,CloseFile,BlockCacheLookupInCache
21,CloseFile,BlockCacheReadFromDisk
7,CloseFile,DeleteFile
2993,ConflictResolution,Write,BlockCacheLookupInCache
2595,ConflictResolution,Write,SubmittingToRaft
9930,Created,Handling
136,Created,ActiveUniverseHistory,Handling
3,Created,FinishTransaction,Handling
5,Created,GetDatabaseInfo,Handling
5,Created,GetTServerUUID,Handling
1,Created,GetTransactionStatus,Handling
44,Created,Heartbeat,Handling
1,Created,ListLiveTabletServers,Handling
154,Created,OpenTable,Handling
30792,Created,Perform,Handling
17739,Created,Read,Handling
11,Created,RunLeaderElection,Handling
4,Created,Truncate,Handling
2,Created,TruncateTable,Handling
2596,Created,UpdateTransaction,Handling
2595,Created,Write,Handling
11,DeleteFile,Unused
11914,DoRead,BlockCacheLookupInCache
3306,DoRead,BlockCacheReadFromDisk
9902,DoRead,Handling
25438,DoRead,Read,BlockCacheLookupInCache
7049,DoRead,Read,BlockCacheReadFromDisk
17739,DoRead,Read,Handling
2595,ExecuteWrite,Write,ConflictResolution
30792,Flushing,Perform,LookingUpTablet
3,GetSafeTime,Applying
9902,GetSafeTime,Handling
17739,GetSafeTime,Read,Handling
9902,Handling,DoRead
9902,Handling,GetSafeTime
7,Handling,PrepareAndStart
28,Handling,SubmittedUpdateTransactionToPreparer
136,Handling,ActiveUniverseHistory,QueueingResponse
3,Handling,FinishTransaction,QueueingResponse
5,Handling,GetDatabaseInfo,QueueingResponse
5,Handling,GetTServerUUID,QueueingResponse
1,Handling,GetTransactionStatus,QueueingResponse
44,Handling,Heartbeat,QueueingResponse
1,Handling,ListLiveTabletServers,QueueingResponse
154,Handling,OpenTable,QueueingResponse
30792,Handling,Perform,Flushing
17739,Handling,Read,DoRead
17739,Handling,Read,GetSafeTime
17739,Handling,Read,QueueingResponse
11,Handling,RunLeaderElection,QueueingResponse
1,Handling,Truncate,PrepareAndStart
4,Handling,Truncate,SubmittedTruncateToPreparer
2,Handling,TruncateTable,QueueingResponse
1084,Handling,UpdateTransaction,PrepareAndStart
1,Handling,UpdateTransaction,QueueingResponse
2554,Handling,UpdateTransaction,SubmittedUpdateTransactionToPreparer
2595,Handling,Write,AcquiringLocks
9902,HandlingDone,HandlingDone,if,current,state,is,Handling
45,LookingUpTablet,Perform,LookingUpTablet
5,LookingUpTablet,Perform,QueueingResponse
30787,LookingUpTablet,Perform,TabletLookupFinished
7,OpenFile,OpenFile
7,OpenFile,WriteToFile
28,PrepareAndStart,AddedToLeader
4,PrepareAndStart,Truncate,AddedToLeader
2594,PrepareAndStart,UpdateTransaction,AddedToLeader
13,PrepareAndStart,UpdateTransaction,SubmittedUpdateTransactionToPreparer
2580,PrepareAndStart,Write,AddedToLeader
10,PrepareAndStart,Write,SubmittedWriteToPreparer
135,QueueingResponse,ActiveUniverseHistory,ResponseQueued
18,QueueingResponse,ActiveUniverseHistory,ResponseTransferred
